Report from scikit learn:
              precision    recall  f1-score   support

         Neg       0.71      0.13      0.22      1230
         Pos       0.50      0.94      0.66      1153

    accuracy                           0.52      2383
   macro avg       0.61      0.54      0.44      2383
weighted avg       0.61      0.52      0.43      2383


Displaying the confusion matrix:
[[ 162 1068]
 [  66 1087]]
Table with prediction and the instance position:
9531, 1

9532, 1

9533, 1

9534, 1

9535, 1

9536, 0

9537, 1

9538, 1

9539, 1

9540, 1

9541, 1

9542, 1

9543, 1

9544, 0

9545, 0

9546, 1

9547, 1

9548, 1

9549, 1

9550, 1

9551, 1

9552, 1

9553, 1

9554, 1

9555, 1

9556, 0

9557, 1

9558, 0

9559, 1

9560, 0

9561, 1

9562, 1

9563, 1

9564, 1

9565, 1

9566, 1

9567, 1

9568, 1

9569, 1

9570, 0

9571, 1

9572, 1

9573, 1

9574, 1

9575, 1

9576, 1

9577, 1

9578, 1

9579, 1

9580, 1

9581, 1

9582, 1

9583, 1

9584, 1

9585, 1

9586, 1

9587, 1

9588, 1

9589, 0

9590, 0

9591, 1

9592, 1

9593, 1

9594, 1

9595, 1

9596, 1

9597, 1

9598, 1

9599, 1

9600, 1

9601, 1

9602, 1

9603, 1

9604, 1

9605, 0

9606, 0

9607, 1

9608, 0

9609, 0

9610, 1

9611, 1

9612, 1

9613, 0

9614, 1

9615, 1

9616, 0

9617, 1

9618, 1

9619, 1

9620, 1

9621, 1

9622, 1

9623, 1

9624, 1

9625, 1

9626, 1

9627, 1

9628, 1

9629, 1

9630, 1

9631, 1

9632, 1

9633, 1

9634, 1

9635, 1

9636, 1

9637, 1

9638, 1

9639, 1

9640, 1

9641, 0

9642, 1

9643, 1

9644, 1

9645, 1

9646, 1

9647, 1

9648, 1

9649, 1

9650, 1

9651, 1

9652, 1

9653, 1

9654, 1

9655, 1

9656, 1

